run_id,stage,round_id,seed,scene_id,difficulty,planner,ablation_mode,success,time_ms,path_len,collision_checks,iters_used,goal_reached_iter,cuda_enabled,device_name,alpha_final,bridge_usage_ratio,failure_type,max_iters,sample_source_counts,alpha_trace,alpha_trace_stats,bridge_candidate_stats,leaf_plan_batches,cpu_gpu_consistency,image_path
MATRIX_rrt_2d_complex_cci_only_1_1776755164885,MATRIX,0,1,2d_complex,complex,rrt,cci_only,True,900.9638950083172,1.892142386520249,516,515,514,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 51, ""bridge"": 0, ""uniform"": 464}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_1.png
MATRIX_rrt_2d_complex_cci_only_2_1776755165754,MATRIX,0,2,2d_complex,complex,rrt,cci_only,True,689.4924480002373,1.9742253122996511,339,338,337,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 27, ""bridge"": 0, ""uniform"": 311}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_2.png
MATRIX_rrt_2d_complex_cci_only_3_1776755167087,MATRIX,0,3,2d_complex,complex,rrt,cci_only,False,1221.4167939964682,1.3998103171580716,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 58, ""bridge"": 0, ""uniform"": 642}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_3.png
MATRIX_rrt_2d_complex_cci_only_4_1776755167795,MATRIX,0,4,2d_complex,complex,rrt,cci_only,True,601.5491889993427,1.8083889367722354,302,301,300,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 11, ""bridge"": 0, ""uniform"": 290}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_4.png
MATRIX_rrt_2d_complex_cci_only_5_1776755169203,MATRIX,0,5,2d_complex,complex,rrt,cci_only,False,1254.9508800002513,1.4933114880048808,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 82, ""bridge"": 0, ""uniform"": 618}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_5.png
MATRIX_rrt_2d_complex_cci_only_6_1776755169997,MATRIX,0,6,2d_complex,complex,rrt,cci_only,True,702.7614350081421,1.7781098421682473,326,325,324,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 28, ""bridge"": 0, ""uniform"": 297}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_6.png
MATRIX_rrt_2d_complex_cci_only_7_1776755170532,MATRIX,0,7,2d_complex,complex,rrt,cci_only,True,434.8217789956834,2.0391492893476166,220,219,218,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 16, ""bridge"": 0, ""uniform"": 203}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_7.png
MATRIX_rrt_2d_complex_cci_only_8_1776755171254,MATRIX,0,8,2d_complex,complex,rrt,cci_only,True,568.6953130061738,1.7748248319243172,331,330,329,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 31, ""bridge"": 0, ""uniform"": 299}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_8.png
MATRIX_rrt_2d_complex_cci_only_9_1776755171984,MATRIX,0,9,2d_complex,complex,rrt,cci_only,True,609.1215439955704,1.930360155656316,308,307,306,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 17, ""bridge"": 0, ""uniform"": 290}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_9.png
MATRIX_rrt_2d_complex_cci_only_10_1776755173499,MATRIX,0,10,2d_complex,complex,rrt,cci_only,True,1396.7755420017056,2.0179998277099673,614,613,612,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 53, ""bridge"": 0, ""uniform"": 560}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_10.png
